model,audio_file,elapsed_sec,success,cpu_mean,cpu_max,memory_mean_gb,memory_max_gb,memory_percent_mean,memory_percent_max,gpu_util_mean,gpu_util_max,gpu_mem_mean_mb,gpu_mem_max_mb
omniASR_CTC_300M,data/wav/fr/fr0325.mp3,1.0602812767028809,False,24.9,24.9,17.150714874267578,17.150714874267578,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/fr/fr0325.mp3,1.1118488311767578,False,24.2,24.2,17.158161163330078,17.158161163330078,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/fr/fr0325.mp3,1.0651869773864746,False,15.0,15.0,17.153106689453125,17.153106689453125,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/fr/fr0175.mp3,0.1091101169586181,False,10.0,10.0,17.084884643554688,17.084884643554688,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/fr/fr0175.mp3,1.0418493747711182,False,20.3,20.3,17.15235137939453,17.15235137939453,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/fr/fr0175.mp3,1.0514132976531982,False,28.3,28.3,17.15688705444336,17.15688705444336,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/fr/fr0175.mp3,1.0170600414276123,False,32.1,32.1,17.16335678100586,17.16335678100586,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/fr/fr0542.mp3,0.1033978462219238,False,13.0,13.0,17.09040069580078,17.09040069580078,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/fr/fr0542.mp3,1.0492289066314695,False,29.2,29.2,17.17214584350586,17.17214584350586,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/fr/fr0542.mp3,1.0469110012054443,False,34.6,34.6,17.156490325927734,17.156490325927734,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/fr/fr0542.mp3,1.0913949012756348,False,27.6,27.6,17.153564453125,17.153564453125,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/fr/fr0237.mp3,0.1096956729888916,False,14.5,14.5,17.09076690673828,17.09076690673828,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/fr/fr0237.mp3,1.0131378173828125,False,24.3,24.3,17.15958023071289,17.15958023071289,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/fr/fr0237.mp3,1.0566740036010742,False,29.7,29.7,17.156063079833984,17.156063079833984,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/fr/fr0237.mp3,1.04443097114563,False,27.4,27.4,17.158145904541016,17.158145904541016,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/fr/fr1000.mp3,0.1109633445739746,False,11.1,11.1,17.094078063964844,17.094078063964844,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/fr/fr1000.mp3,1.042651653289795,False,18.1,18.1,17.15866470336914,17.15866470336914,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/fr/fr1000.mp3,1.0483698844909668,False,27.4,27.4,17.16274642944336,17.16274642944336,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/fr/fr1000.mp3,1.030780792236328,False,27.5,27.5,17.151653289794922,17.151653289794922,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/fr/fr0844.mp3,0.1048738956451416,False,9.8,9.8,17.08527374267578,17.08527374267578,27.3,27.3,0.0,0.0,24.0,24.0
